Invernadero	Modulo	Ciclo	Cultivo	Tipo	Variedad	Camas	Cama	Duracion	Sustrato	Estado	Fecha
Vidrio 	1	2	Tomate	San Marzano	Sir Elyan	1	2	9	1	Final	2021-07-03
Vidrio 	1	2	Tomate	San Marzano	Sir Elyan	1	2	9	1	Semillero	2021-04-29
Vidrio 	1	2	Tomate	San Marzano	Sir Elyan	1	2	9	1	En Cultivo	2091-06-02
Vidrio 	1	2	Tomate	Chonto	Gem 	1	1	35	1	Final	2021-07-03
Vidrio 	1	2	Tomate	Chonto	Gem 	1	1	35	1	Semillero	2021-03-21
Vidrio 	1	2	Tomate	Chonto	Gem 	1	1	35	1	En Cultivo	2091-05-07
Vidrio 	1	2	Tomate	Cherry	Cherry amarillo/rojo	1	8	8	1	Final	2021-07-03
Vidrio 	1	2	Tomate	Cherry	Cherry amarillo/rojo	1	8	8	1	Semillero	2021-04-29
Vidrio 	1	2	Tomate	Cherry	Cherry amarillo/rojo	1	8	8	1	En Cultivo	2091-06-03
Vidrio 	1	2	Tomate	Chonto	Alamina	1	3	NA	1	Final	NA
Vidrio 	1	2	Tomate	Chonto	Alamina	1	3	NA	1	Semillero	2021-06-11
Vidrio 	1	2	Tomate	Chonto	Alamina	1	3	NA	1	En Cultivo	NA
Vidrio 	1	2	Tomate	Cherry	Cherry amarillo/rojo	1	9	NA	1	Final	NA
Vidrio 	1	2	Tomate	Cherry	Cherry amarillo/rojo	1	9	NA	1	Semillero	2021-06-11
Vidrio 	1	2	Tomate	Cherry	Cherry amarillo/rojo	1	9	NA	1	En Cultivo	NA
