CULTIVO,Tiempo en semillero,Tipo de bandeja,Tiempo a cosecha,Estado,Semana,Cantidad
Crespa verde,28,128,8,Trasplante,46,NA
Crespa verde,28,128,8,Plan,47,NA
Crespa verde,28,128,8,Siembra,47,NA
Crespa verde,28,128,8,Trasplante,47,NA
Crespa verde,28,128,8,Plan,48,NA
Crespa verde,28,128,8,Siembra,48,NA
Crespa verde,28,128,8,Trasplante,48,NA
Crespa verde,28,128,8,Plan,49,NA
Crespa verde,28,128,8,Siembra,49,NA
Crespa verde,28,128,8,Trasplante,49,NA
Crespa verde,28,128,8,Plan,50,NA
Crespa verde,28,128,8,Siembra,50,NA
Crespa verde,28,128,8,Trasplante,50,NA
Crespa verde,28,128,8,Plan,51,NA
Crespa verde,28,128,8,Siembra,51,NA
Crespa verde,28,128,8,Trasplante,51,NA
Crespa verde,28,128,8,Plan,52,NA
Crespa verde,28,128,8,Siembra,52,NA
Crespa verde,28,128,8,Trasplante,52,NA
Crespa morada,28,128,8,Plan,6,64
Crespa morada,28,128,8,Siembra,6,64
Crespa morada,28,128,8,Trasplante,6,64
Crespa morada,28,128,8,Plan,7,64
Crespa morada,28,128,8,Siembra,7,64
Crespa morada,28,128,8,Trasplante,7,64
Crespa morada,28,128,8,Plan,8,64
Crespa morada,28,128,8,Siembra,8,64
Crespa morada,28,128,8,Trasplante,8,64
Crespa morada,28,128,8,Plan,9,64
Crespa morada,28,128,8,Siembra,9,64
Crespa morada,28,128,8,Trasplante,9,64
Crespa morada,28,128,8,Plan,10,64
Crespa morada,28,128,8,Siembra,10,80
Crespa morada,28,128,8,Trasplante,10,80
Crespa morada,28,128,8,Plan,11,64
Crespa morada,28,128,8,Siembra,11,72
Crespa morada,28,128,8,Trasplante,11,72
Crespa morada,28,128,8,Plan,12,64
Crespa morada,28,128,8,Siembra,12,64
Crespa morada,28,128,8,Trasplante,12,64
Crespa morada,28,128,8,Plan,13,64
Crespa morada,28,128,8,Siembra,13,63
Crespa morada,28,128,8,Trasplante,13,63
Crespa morada,28,128,8,Plan,14,64
Crespa morada,28,128,8,Siembra,14,40
Crespa morada,28,128,8,Trasplante,14,40
Crespa morada,28,128,8,Plan,15,64
Crespa morada,28,128,8,Siembra,15,NA
Crespa morada,28,128,8,Trasplante,15,0
Crespa morada,28,128,8,Plan,16,64
Crespa morada,28,128,8,Siembra,16,128
Crespa morada,28,128,8,Trasplante,16,128
Crespa morada,28,128,8,Plan,17,64
Crespa morada,28,128,8,Siembra,17,64
Crespa morada,28,128,8,Trasplante,17,64
Crespa morada,28,128,8,Plan,18,64
Crespa morada,28,128,8,Siembra,18,64
Crespa morada,28,128,8,Trasplante,18,64
Crespa morada,28,128,8,Plan,19,64
Crespa morada,28,128,8,Siembra,19,64
Crespa morada,28,128,8,Trasplante,19,64
Crespa morada,28,128,8,Plan,20,64
Crespa morada,28,128,8,Siembra,20,64
Crespa morada,28,128,8,Trasplante,20,64
Crespa morada,28,128,8,Plan,21,64
Crespa morada,28,128,8,Siembra,21,64
Crespa morada,28,128,8,Trasplante,21,64
Crespa morada,28,128,8,Plan,22,64
Crespa morada,28,128,8,Siembra,22,64
Crespa morada,28,128,8,Trasplante,22,64
Crespa morada,28,128,8,Plan,23,64
Crespa morada,28,128,8,Siembra,23,NA
Crespa morada,28,128,8,Trasplante,23,64
Crespa morada,28,128,8,Plan,24,64
Crespa morada,28,128,8,Siembra,24,NA
Crespa morada,28,128,8,Trasplante,24,64
Crespa morada,28,128,8,Plan,25,64
Crespa morada,28,128,8,Siembra,25,NA
Crespa morada,28,128,8,Trasplante,25,NA
Crespa morada,28,128,8,Plan,26,64
Crespa morada,28,128,8,Siembra,26,NA
Crespa morada,28,128,8,Trasplante,26,NA
Crespa morada,28,128,8,Plan,27,64
Crespa morada,28,128,8,Siembra,27,NA
Crespa morada,28,128,8,Trasplante,27,NA
Crespa morada,28,128,8,Plan,28,NA
Crespa morada,28,128,8,Siembra,28,NA
Crespa morada,28,128,8,Trasplante,28,NA
Crespa morada,28,128,8,Plan,29,NA
Crespa morada,28,128,8,Siembra,29,NA
