Cama	Fecha	Variable	Valor
1	2021-02-16	Tallos	7
1	2021-02-16	Plantas	122
1	2021-02-16	TallosPorPlanta	0.05737704918032787
1	2021-02-16	TallosPorM2	0.3365384615384615
1	2020-12-24	Tallos	7
1	2020-12-24	Plantas	122
1	2020-12-24	TallosPorPlanta	0.05737704918032787
1	2020-12-24	TallosPorM2	0.3365384615384615
1	2020-11-30	Tallos	17
1	2020-11-30	Plantas	122
1	2020-11-30	TallosPorPlanta	0.13934426229508196
1	2020-11-30	TallosPorM2	0.8173076923076923
1	2020-11-09	Tallos	17
1	2020-11-09	Plantas	122
1	2020-11-09	TallosPorPlanta	0.13934426229508196
1	2020-11-09	TallosPorM2	0.8173076923076923
1	2021-03-23	Tallos	6
1	2021-03-23	Plantas	122
1	2021-03-23	TallosPorPlanta	0.04918032786885246
1	2021-03-23	TallosPorM2	0.28846153846153844
1	2021-01-26	Tallos	1
1	2021-01-26	Plantas	122
1	2021-01-26	TallosPorPlanta	0.00819672131147541
1	2021-01-26	TallosPorM2	0.04807692307692307
1	2021-06-08	Tallos	26
1	2021-06-08	Plantas	122
1	2021-06-08	TallosPorPlanta	0.21311475409836064
1	2021-06-08	TallosPorM2	1.25
1	2021-04-23	Tallos	NA
1	2021-04-23	Plantas	122
1	2021-04-23	TallosPorPlanta	NA
1	2021-04-23	TallosPorM2	NA
1	2020-12-14	Tallos	22
1	2020-12-14	Plantas	122
1	2020-12-14	TallosPorPlanta	0.18032786885245902
1	2020-12-14	TallosPorM2	1.0576923076923077
1	2020-12-11	Tallos	5
1	2020-12-11	Plantas	122
1	2020-12-11	TallosPorPlanta	0.040983606557377046
1	2020-12-11	TallosPorM2	0.24038461538461536
1	2020-12-09	Tallos	14
1	2020-12-09	Plantas	122
1	2020-12-09	TallosPorPlanta	0.11475409836065574
1	2020-12-09	TallosPorM2	0.673076923076923
1	2020-11-17	Tallos	20
1	2020-11-17	Plantas	122
1	2020-11-17	TallosPorPlanta	0.16393442622950818
1	2020-11-17	TallosPorM2	0.9615384615384615
1	2020-12-31	Tallos	3
1	2020-12-31	Plantas	122
1	2020-12-31	TallosPorPlanta	0.02459016393442623
1	2020-12-31	TallosPorM2	0.14423076923076922
1	2020-12-28	Tallos	5
1	2020-12-28	Plantas	122
1	2020-12-28	TallosPorPlanta	0.040983606557377046
1	2020-12-28	TallosPorM2	0.24038461538461536
1	2020-12-01	Tallos	5
1	2020-12-01	Plantas	122
1	2020-12-01	TallosPorPlanta	0.040983606557377046
1	2020-12-01	TallosPorM2	0.24038461538461536
1	2020-11-10	Tallos	3
1	2020-11-10	Plantas	122
1	2020-11-10	TallosPorPlanta	0.02459016393442623
1	2020-11-10	TallosPorM2	0.14423076923076922
1	2021-06-18	Tallos	9
1	2021-06-18	Plantas	122
1	2021-06-18	TallosPorPlanta	0.07377049180327869
1	2021-06-18	TallosPorM2	0.43269230769230765
1	2021-06-15	Tallos	23
1	2021-06-15	Plantas	122
1	2021-06-15	TallosPorPlanta	0.1885245901639344
1	2021-06-15	TallosPorM2	1.1057692307692308
1	2021-06-10	Tallos	11
1	2021-06-10	Plantas	122
1	2021-06-10	TallosPorPlanta	0.09016393442622951
1	2021-06-10	TallosPorM2	0.5288461538461539
1	2021-04-27	Tallos	70
1	2021-04-27	Plantas	122
1	2021-04-27	TallosPorPlanta	0.5737704918032787
1	2021-04-27	TallosPorM2	3.3653846153846154
1	2020-12-16	Tallos	8
1	2020-12-16	Plantas	122
1	2020-12-16	TallosPorPlanta	0.06557377049180328
1	2020-12-16	TallosPorM2	0.3846153846153846
1	2020-11-20	Tallos	3
1	2020-11-20	Plantas	122
1	2020-11-20	TallosPorPlanta	0.02459016393442623
1	2020-11-20	TallosPorM2	0.14423076923076922
1	2020-11-19	Tallos	6
1	2020-11-19	Plantas	122
1	2020-11-19	TallosPorPlanta	0.04918032786885246
1	2020-11-19	TallosPorM2	0.28846153846153844
1	2020-11-18	Tallos	8
1	2020-11-18	Plantas	122
1	2020-11-18	TallosPorPlanta	0.06557377049180328
1	2020-11-18	TallosPorM2	0.3846153846153846
1	2021-01-04	Tallos	10
1	2021-01-04	Plantas	122
1	2021-01-04	TallosPorPlanta	0.08196721311475409
1	2021-01-04	TallosPorM2	0.4807692307692307
1	2020-12-07	Tallos	21
1	2020-12-07	Plantas	122
1	2020-12-07	TallosPorPlanta	0.1721311475409836
1	2020-12-07	TallosPorM2	1.0096153846153846
1	2020-12-04	Tallos	15
1	2020-12-04	Plantas	122
1	2020-12-04	TallosPorPlanta	0.12295081967213115
1	2020-12-04	TallosPorM2	0.7211538461538461
1	2020-11-12	Tallos	6
1	2020-11-12	Plantas	122
1	2020-11-12	TallosPorPlanta	0.04918032786885246
1	2020-11-12	TallosPorM2	0.28846153846153844
1	2021-05-13	Tallos	40
1	2021-05-13	Plantas	122
1	2021-05-13	TallosPorPlanta	0.32786885245901637
1	2021-05-13	TallosPorM2	1.923076923076923
1	2021-05-04	Tallos	70
1	2021-05-04	Plantas	122
1	2021-05-04	TallosPorPlanta	0.5737704918032787
1	2021-05-04	TallosPorM2	3.3653846153846154
1	2020-11-13	Tallos	7
1	2020-11-13	Plantas	122
1	2020-11-13	TallosPorPlanta	0.05737704918032787
1	2020-11-13	TallosPorM2	0.3365384615384615
2	2020-11-12	Tallos	11
2	2020-11-12	Plantas	122
2	2020-11-12	TallosPorPlanta	0.09016393442622951
2	2020-11-12	TallosPorM2	0.5288461538461539
2	2020-11-10	Tallos	5
2	2020-11-10	Plantas	122
2	2020-11-10	TallosPorPlanta	0.040983606557377046
2	2020-11-10	TallosPorM2	0.24038461538461536
2	2020-11-06	Tallos	3
2	2020-11-06	Plantas	122
2	2020-11-06	TallosPorPlanta	0.02459016393442623
2	2020-11-06	TallosPorM2	0.14423076923076922
2	2020-11-05	Tallos	6
2	2020-11-05	Plantas	122
2	2020-11-05	TallosPorPlanta	0.04918032786885246
2	2020-11-05	TallosPorM2	0.28846153846153844
2	2020-11-04	Tallos	11
2	2020-11-04	Plantas	122
2	2020-11-04	TallosPorPlanta	0.09016393442622951
2	2020-11-04	TallosPorM2	0.5288461538461539
2	2020-11-19	Tallos	2
2	2020-11-19	Plantas	122
2	2020-11-19	TallosPorPlanta	0.01639344262295082
2	2020-11-19	TallosPorM2	0.09615384615384615
2	2020-11-18	Tallos	8
2	2020-11-18	Plantas	122
2	2020-11-18	TallosPorPlanta	0.06557377049180328
2	2020-11-18	TallosPorM2	0.3846153846153846
2	2020-11-17	Tallos	11
2	2020-11-17	Plantas	122
2	2020-11-17	TallosPorPlanta	0.09016393442622951
2	2020-11-17	TallosPorM2	0.5288461538461539
2	2021-04-23	Tallos	30
2	2021-04-23	Plantas	122
2	2021-04-23	TallosPorPlanta	0.2459016393442623
2	2021-04-23	TallosPorM2	1.4423076923076923
2	2020-11-13	Tallos	8
2	2020-11-13	Plantas	122
2	2020-11-13	TallosPorPlanta	0.06557377049180328
2	2020-11-13	TallosPorM2	0.3846153846153846
2	2021-04-05	Tallos	10
2	2021-04-05	Plantas	122
2	2021-04-05	TallosPorPlanta	0.08196721311475409
2	2021-04-05	TallosPorM2	0.4807692307692307
2	2021-03-31	Tallos	5
2	2021-03-31	Plantas	122
2	2021-03-31	TallosPorPlanta	0.040983606557377046
2	2021-03-31	TallosPorM2	0.24038461538461536
2	2021-03-29	Tallos	10
2	2021-03-29	Plantas	122
2	2021-03-29	TallosPorPlanta	0.08196721311475409
2	2021-03-29	TallosPorM2	0.4807692307692307
2	2020-11-09	Tallos	15
2	2020-11-09	Plantas	122
2	2020-11-09	TallosPorPlanta	0.12295081967213115
2	2020-11-09	TallosPorM2	0.7211538461538461
2	2021-05-13	Tallos	55
2	2021-05-13	Plantas	122
2	2021-05-13	TallosPorPlanta	0.45081967213114754
2	2021-05-13	TallosPorM2	2.644230769230769
2	2021-05-04	Tallos	65
2	2021-05-04	Plantas	122
2	2021-05-04	TallosPorPlanta	0.5327868852459017
2	2021-05-04	TallosPorM2	3.125
2	2021-04-27	Tallos	50
2	2021-04-27	Plantas	122
2	2021-04-27	TallosPorPlanta	0.4098360655737705
2	2021-04-27	TallosPorM2	2.4038461538461537
2	2020-11-20	Tallos	5
2	2020-11-20	Plantas	122
2	2020-11-20	TallosPorPlanta	0.040983606557377046
2	2020-11-20	TallosPorM2	0.24038461538461536
2	2021-03-15	Tallos	8
2	2021-03-15	Plantas	122
2	2021-03-15	TallosPorPlanta	0.06557377049180328
2	2021-03-15	TallosPorM2	0.3846153846153846
2	2021-03-09	Tallos	7
2	2021-03-09	Plantas	122
2	2021-03-09	TallosPorPlanta	0.05737704918032787
2	2021-03-09	TallosPorM2	0.3365384615384615
2	2021-01-06	Tallos	14
2	2021-01-06	Plantas	122
2	2021-01-06	TallosPorPlanta	0.11475409836065574
2	2021-01-06	TallosPorM2	0.673076923076923
2	2021-05-27	Tallos	24
2	2021-05-27	Plantas	122
2	2021-05-27	TallosPorPlanta	0.19672131147540983
2	2021-05-27	TallosPorM2	1.1538461538461537
2	2021-04-13	Tallos	33
2	2021-04-13	Plantas	122
2	2021-04-13	TallosPorPlanta	0.27049180327868855
2	2021-04-13	TallosPorM2	1.5865384615384615
2	2021-02-23	Tallos	4
2	2021-02-23	Plantas	122
2	2021-02-23	TallosPorPlanta	0.03278688524590164
2	2021-02-23	TallosPorM2	0.1923076923076923
2	2021-06-21	Tallos	9
2	2021-06-21	Plantas	122
2	2021-06-21	TallosPorPlanta	0.07377049180327869
2	2021-06-21	TallosPorM2	0.43269230769230765
2	2021-05-18	Tallos	29
2	2021-05-18	Plantas	122
2	2021-05-18	TallosPorPlanta	0.23770491803278687
2	2021-05-18	TallosPorM2	1.3942307692307692
2	2021-02-08	Tallos	1
2	2021-02-08	Plantas	122
2	2021-02-08	TallosPorPlanta	0.00819672131147541
2	2021-02-08	TallosPorM2	0.04807692307692307
2	2021-02-02	Tallos	3
2	2021-02-02	Plantas	122
2	2021-02-02	TallosPorPlanta	0.02459016393442623
2	2021-02-02	TallosPorM2	0.14423076923076922
2	2020-12-18	Tallos	1
2	2020-12-18	Plantas	122
2	2020-12-18	TallosPorPlanta	0.00819672131147541
2	2020-12-18	TallosPorM2	0.04807692307692307
2	2020-11-23	Tallos	4
2	2020-11-23	Plantas	122
2	2020-11-23	TallosPorPlanta	0.03278688524590164
2	2020-11-23	TallosPorM2	0.1923076923076923
2	2021-03-17	Tallos	2
2	2021-03-17	Plantas	122
2	2021-03-17	TallosPorPlanta	0.01639344262295082
2	2021-03-17	TallosPorM2	0.09615384615384615
2	2021-01-19	Tallos	9
2	2021-01-19	Plantas	122
2	2021-01-19	TallosPorPlanta	0.07377049180327869
2	2021-01-19	TallosPorM2	0.43269230769230765
2	2021-01-12	Tallos	14
2	2021-01-12	Plantas	122
2	2021-01-12	TallosPorPlanta	0.11475409836065574
2	2021-01-12	TallosPorM2	0.673076923076923
2	2021-05-31	Tallos	19
2	2021-05-31	Plantas	122
2	2021-05-31	TallosPorPlanta	0.1557377049180328
2	2021-05-31	TallosPorM2	0.9134615384615384
2	2021-04-16	Tallos	41
2	2021-04-16	Plantas	122
2	2021-04-16	TallosPorPlanta	0.3360655737704918
2	2021-04-16	TallosPorM2	1.971153846153846
2	2021-02-26	Tallos	3
2	2021-02-26	Plantas	122
2	2021-02-26	TallosPorPlanta	0.02459016393442623
2	2021-02-26	TallosPorM2	0.14423076923076922
2	2021-06-24	Tallos	21
2	2021-06-24	Plantas	122
2	2021-06-24	TallosPorPlanta	0.1721311475409836
2	2021-06-24	TallosPorM2	1.0096153846153846
2	2021-05-20	Tallos	25
2	2021-05-20	Plantas	122
2	2021-05-20	TallosPorPlanta	0.20491803278688525
2	2021-05-20	TallosPorM2	1.2019230769230769
2	2021-02-16	Tallos	2
2	2021-02-16	Plantas	122
2	2021-02-16	TallosPorPlanta	0.01639344262295082
2	2021-02-16	TallosPorM2	0.09615384615384615
2	2020-12-24	Tallos	2
2	2020-12-24	Plantas	122
2	2020-12-24	TallosPorPlanta	0.01639344262295082
2	2020-12-24	TallosPorM2	0.09615384615384615
2	2020-12-21	Tallos	13
2	2020-12-21	Plantas	122
2	2020-12-21	TallosPorPlanta	0.10655737704918032
2	2020-12-21	TallosPorM2	0.625
2	2020-11-27	Tallos	6
2	2020-11-27	Plantas	122
2	2020-11-27	TallosPorPlanta	0.04918032786885246
2	2020-11-27	TallosPorM2	0.28846153846153844
2	2021-03-23	Tallos	9
2	2021-03-23	Plantas	122
2	2021-03-23	TallosPorPlanta	0.07377049180327869
2	2021-03-23	TallosPorM2	0.43269230769230765
2	2021-01-26	Tallos	1
2	2021-01-26	Plantas	122
2	2021-01-26	TallosPorPlanta	0.00819672131147541
2	2021-01-26	TallosPorM2	0.04807692307692307
2	2021-06-08	Tallos	21
2	2021-06-08	Plantas	122
2	2021-06-08	TallosPorPlanta	0.1721311475409836
2	2021-06-08	TallosPorM2	1.0096153846153846
2	2021-06-03	Tallos	27
2	2021-06-03	Plantas	122
2	2021-06-03	TallosPorPlanta	0.22131147540983606
2	2021-06-03	TallosPorM2	1.2980769230769231
2	2021-04-20	Tallos	7
2	2021-04-20	Plantas	122
2	2021-04-20	TallosPorPlanta	0.05737704918032787
2	2021-04-20	TallosPorM2	0.3365384615384615
2	2021-03-04	Tallos	5
2	2021-03-04	Plantas	122
2	2021-03-04	TallosPorPlanta	0.040983606557377046
2	2021-03-04	TallosPorM2	0.24038461538461536
2	2021-06-28	Tallos	NA
2	2021-06-28	Plantas	122
2	2021-06-28	TallosPorPlanta	NA
2	2021-06-28	TallosPorM2	NA
2	2021-05-24	Tallos	10
2	2021-05-24	Plantas	122
2	2021-05-24	TallosPorPlanta	0.08196721311475409
2	2021-05-24	TallosPorM2	0.4807692307692307
2	2020-12-31	Tallos	11
2	2020-12-31	Plantas	122
2	2020-12-31	TallosPorPlanta	0.09016393442622951
2	2020-12-31	TallosPorM2	0.5288461538461539
2	2020-12-28	Tallos	9
2	2020-12-28	Plantas	122
2	2020-12-28	TallosPorPlanta	0.07377049180327869
2	2020-12-28	TallosPorM2	0.43269230769230765
2	2020-12-01	Tallos	10
2	2020-12-01	Plantas	122
2	2020-12-01	TallosPorPlanta	0.08196721311475409
2	2020-12-01	TallosPorM2	0.4807692307692307
2	2020-11-30	Tallos	7
2	2020-11-30	Plantas	122
2	2020-11-30	TallosPorPlanta	0.05737704918032787
2	2020-11-30	TallosPorM2	0.3365384615384615
2	2021-06-18	Tallos	11
2	2021-06-18	Plantas	122
2	2021-06-18	TallosPorPlanta	0.09016393442622951
2	2021-06-18	TallosPorM2	0.5288461538461539
2	2021-06-15	Tallos	15
2	2021-06-15	Plantas	122
2	2021-06-15	TallosPorPlanta	0.12295081967213115
2	2021-06-15	TallosPorM2	0.7211538461538461
2	2021-06-10	Tallos	6
2	2021-06-10	Plantas	122
2	2021-06-10	TallosPorPlanta	0.04918032786885246
2	2021-06-10	TallosPorM2	0.28846153846153844
2	2020-12-09	Tallos	13
2	2020-12-09	Plantas	122
2	2020-12-09	TallosPorPlanta	0.10655737704918032
2	2020-12-09	TallosPorM2	0.625
2	2020-12-16	Tallos	3
2	2020-12-16	Plantas	122
2	2020-12-16	TallosPorPlanta	0.02459016393442623
2	2020-12-16	TallosPorM2	0.14423076923076922
2	2020-12-14	Tallos	23
2	2020-12-14	Plantas	122
2	2020-12-14	TallosPorPlanta	0.1885245901639344
2	2020-12-14	TallosPorM2	1.1057692307692308
2	2020-12-11	Tallos	9
2	2020-12-11	Plantas	122
2	2020-12-11	TallosPorPlanta	0.07377049180327869
2	2020-12-11	TallosPorM2	0.43269230769230765
2	2021-01-04	Tallos	6
2	2021-01-04	Plantas	122
2	2021-01-04	TallosPorPlanta	0.04918032786885246
2	2021-01-04	TallosPorM2	0.28846153846153844
2	2020-12-07	Tallos	27
2	2020-12-07	Plantas	122
2	2020-12-07	TallosPorPlanta	0.22131147540983606
2	2020-12-07	TallosPorM2	1.2980769230769231
2	2020-12-04	Tallos	9
2	2020-12-04	Plantas	122
2	2020-12-04	TallosPorPlanta	0.07377049180327869
2	2020-12-04	TallosPorM2	0.43269230769230765
3	2020-11-04	Tallos	17
3	2020-11-04	Plantas	124
3	2020-11-04	TallosPorPlanta	0.13709677419354838
3	2020-11-04	TallosPorM2	0.8173076923076923
3	2020-11-10	Tallos	2
3	2020-11-10	Plantas	124
3	2020-11-10	TallosPorPlanta	0.016129032258064516
3	2020-11-10	TallosPorM2	0.09615384615384615
3	2020-12-01	Tallos	10
3	2020-12-01	Plantas	124
3	2020-12-01	TallosPorPlanta	0.08064516129032258
3	2020-12-01	TallosPorM2	0.4807692307692307
3	2020-11-09	Tallos	18
3	2020-11-09	Plantas	124
3	2020-11-09	TallosPorPlanta	0.14516129032258066
3	2020-11-09	TallosPorM2	0.8653846153846153
3	2020-11-06	Tallos	6
3	2020-11-06	Plantas	124
3	2020-11-06	TallosPorPlanta	0.04838709677419355
3	2020-11-06	TallosPorM2	0.28846153846153844
3	2020-11-05	Tallos	11
3	2020-11-05	Plantas	124
3	2020-11-05	TallosPorPlanta	0.08870967741935484
3	2020-11-05	TallosPorM2	0.5288461538461539
3	2020-11-23	Tallos	8
3	2020-11-23	Plantas	124
3	2020-11-23	TallosPorPlanta	0.06451612903225806
3	2020-11-23	TallosPorM2	0.3846153846153846
3	2020-11-20	Tallos	3
3	2020-11-20	Plantas	124
3	2020-11-20	TallosPorPlanta	0.024193548387096774
3	2020-11-20	TallosPorM2	0.14423076923076922
3	2021-06-08	Tallos	12
3	2021-06-08	Plantas	124
3	2021-06-08	TallosPorPlanta	0.0967741935483871
3	2021-06-08	TallosPorM2	0.5769230769230769
3	2021-04-23	Tallos	42
3	2021-04-23	Plantas	124
3	2021-04-23	TallosPorPlanta	0.3387096774193548
3	2021-04-23	TallosPorM2	2.019230769230769
3	2020-11-18	Tallos	7
3	2020-11-18	Plantas	124
3	2020-11-18	TallosPorPlanta	0.056451612903225805
3	2020-11-18	TallosPorM2	0.3365384615384615
3	2020-11-17	Tallos	13
3	2020-11-17	Plantas	124
3	2020-11-17	TallosPorPlanta	0.10483870967741936
3	2020-11-17	TallosPorM2	0.625
3	2020-11-13	Tallos	4
3	2020-11-13	Plantas	124
3	2020-11-13	TallosPorPlanta	0.03225806451612903
3	2020-11-13	TallosPorM2	0.1923076923076923
3	2020-11-12	Tallos	7
3	2020-11-12	Plantas	124
3	2020-11-12	TallosPorPlanta	0.056451612903225805
3	2020-11-12	TallosPorM2	0.3365384615384615
3	2020-12-04	Tallos	13
3	2020-12-04	Plantas	124
3	2020-12-04	TallosPorPlanta	0.10483870967741936
3	2020-12-04	TallosPorM2	0.625
3	2021-05-20	Tallos	34
3	2021-05-20	Plantas	124
3	2021-05-20	TallosPorPlanta	0.27419354838709675
3	2021-05-20	TallosPorM2	1.6346153846153846
3	2021-05-18	Tallos	27
3	2021-05-18	Plantas	124
3	2021-05-18	TallosPorPlanta	0.21774193548387097
3	2021-05-18	TallosPorM2	1.2980769230769231
3	2021-03-29	Tallos	7
3	2021-03-29	Plantas	124
3	2021-03-29	TallosPorPlanta	0.056451612903225805
3	2021-03-29	TallosPorM2	0.3365384615384615
3	2020-11-27	Tallos	3
3	2020-11-27	Plantas	124
3	2020-11-27	TallosPorPlanta	0.024193548387096774
3	2020-11-27	TallosPorM2	0.14423076923076922
3	2021-06-15	Tallos	9
3	2021-06-15	Plantas	124
3	2021-06-15	TallosPorPlanta	0.07258064516129033
3	2021-06-15	TallosPorM2	0.43269230769230765
3	2021-06-10	Tallos	9
3	2021-06-10	Plantas	124
3	2021-06-10	TallosPorPlanta	0.07258064516129033
3	2021-06-10	TallosPorM2	0.43269230769230765
3	2021-04-27	Tallos	74
3	2021-04-27	Plantas	124
3	2021-04-27	TallosPorPlanta	0.5967741935483871
3	2021-04-27	TallosPorM2	3.5576923076923075
3	2020-11-19	Tallos	5
3	2020-11-19	Plantas	124
3	2020-11-19	TallosPorPlanta	0.04032258064516129
3	2020-11-19	TallosPorM2	0.24038461538461536
3	2021-06-03	Tallos	11
3	2021-06-03	Plantas	124
3	2021-06-03	TallosPorPlanta	0.08870967741935484
3	2021-06-03	TallosPorM2	0.5288461538461539
3	2021-05-31	Tallos	16
3	2021-05-31	Plantas	124
3	2021-05-31	TallosPorPlanta	0.12903225806451613
3	2021-05-31	TallosPorM2	0.7692307692307692
3	2021-05-27	Tallos	23
3	2021-05-27	Plantas	124
3	2021-05-27	TallosPorPlanta	0.18548387096774194
3	2021-05-27	TallosPorM2	1.1057692307692308
3	2020-12-07	Tallos	23
3	2020-12-07	Plantas	124
3	2020-12-07	TallosPorPlanta	0.18548387096774194
3	2020-12-07	TallosPorM2	1.1057692307692308
3	2021-05-24	Tallos	17
3	2021-05-24	Plantas	124
3	2021-05-24	TallosPorPlanta	0.13709677419354838
3	2021-05-24	TallosPorM2	0.8173076923076923
3	2021-04-05	Tallos	14
3	2021-04-05	Plantas	124
3	2021-04-05	TallosPorPlanta	0.11290322580645161
3	2021-04-05	TallosPorM2	0.673076923076923
3	2021-03-31	Tallos	2
3	2021-03-31	Plantas	124
3	2021-03-31	TallosPorPlanta	0.016129032258064516
3	2021-03-31	TallosPorM2	0.09615384615384615
3	2020-11-30	Tallos	6
3	2020-11-30	Plantas	124
3	2020-11-30	TallosPorPlanta	0.04838709677419355
3	2020-11-30	TallosPorM2	0.28846153846153844
3	2021-06-18	Tallos	13
3	2021-06-18	Plantas	124
3	2021-06-18	TallosPorPlanta	0.10483870967741936
3	2021-06-18	TallosPorM2	0.625
3	2021-05-13	Tallos	68
3	2021-05-13	Plantas	124
3	2021-05-13	TallosPorPlanta	0.5483870967741935
3	2021-05-13	TallosPorM2	3.269230769230769
3	2021-05-04	Tallos	58
3	2021-05-04	Plantas	124
3	2021-05-04	TallosPorPlanta	0.46774193548387094
3	2021-05-04	TallosPorM2	2.7884615384615383
3	2020-12-16	Tallos	11
3	2020-12-16	Plantas	124
3	2020-12-16	TallosPorPlanta	0.08870967741935484
3	2020-12-16	TallosPorM2	0.5288461538461539
3	2021-03-17	Tallos	1
3	2021-03-17	Plantas	124
3	2021-03-17	TallosPorPlanta	0.008064516129032258
