Fecha	remote_id	remote_name	Variable	Valor
2021-06-22T15:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.11
2021-06-22T15:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T16:00:00Z	Priva	Exterior	PAR_umolm2s	205.0102
2021-06-22T16:00:00Z	Priva	Exterior	Radiacion_Wm2	89.72
2021-06-22T16:00:00Z	Priva	Exterior	Temperatura_Aire_C	17.71
2021-06-22T16:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1287.92
2021-06-22T16:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.3
2021-06-22T16:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T17:00:00Z	Priva	Exterior	PAR_umolm2s	182.61720000000003
2021-06-22T17:00:00Z	Priva	Exterior	Radiacion_Wm2	79.92
2021-06-22T17:00:00Z	Priva	Exterior	Temperatura_Aire_C	17.01
2021-06-22T17:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1320.92
2021-06-22T17:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.41
2021-06-22T17:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T18:00:00Z	Priva	Exterior	PAR_umolm2s	16.3606
2021-06-22T18:00:00Z	Priva	Exterior	Radiacion_Wm2	7.16
2021-06-22T18:00:00Z	Priva	Exterior	Temperatura_Aire_C	15.11
2021-06-22T18:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T18:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.4
2021-06-22T18:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T19:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T19:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T19:00:00Z	Priva	Exterior	Temperatura_Aire_C	13.91
2021-06-22T19:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T19:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.1
2021-06-22T19:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T20:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T20:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T20:00:00Z	Priva	Exterior	Temperatura_Aire_C	11.31
2021-06-22T20:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
2021-06-22T20:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.11
2021-06-22T20:00:00Z	Priva	Exterior	Lluvia	0
2021-06-22T21:00:00Z	Priva	Exterior	PAR_umolm2s	0
2021-06-22T21:00:00Z	Priva	Exterior	Radiacion_Wm2	0
2021-06-22T21:00:00Z	Priva	Exterior	Temperatura_Aire_C	10.2
2021-06-22T21:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	1340
