Fecha	RegistroMedidor	Consumom3	ConsumoGal
2020-11-30	1.25	1.25	1.325
2020-12-01	6.93	5.68	6.0208
2020-12-02	11.32	4.39	4.6534
2020-12-03	20.4	9.08	9.6248
2020-12-04	30.7	10.3	10.918
2020-12-05	41	10.3	10.918
2020-12-06	51.74	10.74	11.3844
2020-12-07	59.91	8.17	8.6602
2020-12-08	69.6	9.69	10.2714
2020-12-09	80.43	10.83	11.4798
2020-12-10	88.87	8.44	8.9464
2020-12-11	99.87	11	11.66
2020-12-12	110.87	11	11.66
2020-12-13	122.07	11.2	11.872
2020-12-14	133.05	10.98	11.6388
2020-12-15	142.71	9.66	10.2396
2020-12-16	152.82	10.11	10.7166
2020-12-17	163.8	10.98	11.6388
2020-12-18	172.4	8.6	9.116
2020-12-19	181	8.6	9.116
2020-12-20	189.6	8.6	9.116
2020-12-21	200.22	10.62	11.2572
2020-12-22	210	9.78	10.3668
2020-12-23	221.05	11.05	11.713
2020-12-24	226.75	5.7	6.042
2020-12-25	232.45	5.7	6.042
2020-12-26	238.15	5.7	6.042
2020-12-27	244.16	6.01	6.3706
2020-12-28	251.36	7.2	7.632
2020-12-29	258.71	7.35	7.791
2020-12-30	271.7	12.99	13.7694
2020-12-31	285.7	14	14.84
2021-01-01	299.7	14	14.84
2021-01-02	313.7	14	14.84
2021-01-03	328.6	14.9	15.794
2021-01-04	341.7	13.1	13.886
2021-01-05	354.3	12.6	13.356
2021-01-06	366	11.7	12.402
2021-01-07	378.5	12.5	13.25
2021-01-08	389.1	10.6	11.236
2021-01-09	399.7	10.6	11.236
2021-01-10	410.3	10.6	11.236
2021-01-11	420.9	10.6	11.236
2021-01-12	433	12.1	12.826
2021-01-13	446.6	13.6	14.416
2021-01-14	458.3	11.7	12.402
2021-01-15	468.9	10.6	11.236
2021-01-16	479.5	10.6	11.236
2021-01-17	490.3	10.8	11.448
2021-01-18	492.6	2.3	2.438
2021-01-19	506.4	13.8	14.628
2021-01-20	517.8	11.4	12.084
2021-01-21	526.4	8.6	9.116
2021-01-22	535.7	9.3	9.858
2021-01-23	545	9.3	9.858
2021-01-24	554.3	9.3	9.858
2021-01-25	568.4	14.1	14.946
2021-01-26	581.1	12.7	13.462
2021-01-27	593.2	12.1	12.826
2021-01-28	603.1	9.9	10.494
2021-01-29	614.8	11.7	12.402
2021-01-30	626.5	11.7	12.402
2021-01-31	638.1	11.6	12.296
2021-02-01	647.3	9.2	9.752
2021-02-02	652.2	4.9	5.194
2021-02-03	660.2	8	8.48
2021-02-04	676.5	16.3	17.278
2021-02-05	686.4	9.9	10.494
2021-02-06	696.4	10	10.6
2021-02-07	706.3	9.9	10.494
2021-02-08	715.1	8.8	9.328
2021-02-09	722.2	7.1	7.526
2021-02-10	730.1	7.9	8.374
2021-02-11	737.4	7.3	7.738
2021-02-12	746.1	8.7	9.222
