Fecha	Luz	Material	Repeticion	Nombre	No.Botones	No.entrenudos	Frutos
2021-05-24	Con Luz	VU	4	cl-vu-r4	7	9	NA
2021-05-24	Con Luz	VU	9	cl-vu-r9	8	14	NA
2021-05-24	Sin Luz	WI	2	sl-wi-r2	5	11	NA
2021-05-24	Sin Luz	WI	3	sl-wi-r3	3	5	NA
2021-05-24	Sin Luz	WI	5	sl-wi-r5	6	6	NA
2021-05-24	Sin Luz	WI	1	sl-wi-r1	0	6	NA
2021-05-24	Sin Luz	WI	10	sl-wi-r10	5	6	NA
2021-05-24	Sin Luz	WI	7	sl-wi-r7	2	5	NA
2021-05-24	Sin Luz	WI	8	sl-wi-r8	1	1	NA
2021-05-24	Sin Luz	WI	4	sl-wi-r4	0	3	NA
2021-05-24	Sin Luz	WI	9	sl-wi-r9	5	5	NA
2021-05-24	Sin Luz	WI	6	sl-wi-r6	5	5	NA
2021-05-24	Con Luz	WI	5	cl-wi-r5	3	8	NA
2021-05-24	Con Luz	WI	10	cl-wi-r10	2	5	NA
2021-05-24	Con Luz	WI	3	cl-wi-r3	8	8	NA
2021-05-24	Con Luz	WI	2	cl-wi-r2	4	6	NA
2021-05-24	Con Luz	WI	4	cl-wi-r4	4	7	NA
2021-05-24	Con Luz	WI	9	cl-wi-r9	4	6	NA
2021-05-24	Con Luz	WI	8	cl-wi-r8	5	7	NA
2021-05-24	Con Luz	WI	1	cl-wi-r1	4	6	NA
2021-05-24	Con Luz	WI	7	cl-wi-r7	4	7	NA
2021-05-24	Con Luz	WI	6	cl-wi-r6	5	8	NA
2021-05-24	Sin Luz	TA	1	sl-ta-r1	8	11	NA
2021-05-24	Sin Luz	TA	3	sl-ta-r3	0	3	NA
2021-05-24	Sin Luz	TA	2	sl-ta-r2	5	10	NA
2021-05-24	Sin Luz	TA	5	sl-ta-r5	8	12	NA
2021-05-24	Sin Luz	TA	4	sl-ta-r4	"NA"	"NA"	NA
2021-05-24	Sin Luz	TA	9	sl-ta-r9	12	16	2
2021-05-24	Sin Luz	TA	10	sl-ta-r10	10	15	1
2021-05-24	Sin Luz	TA	8	sl-ta-r8	10	15	NA
2021-05-24	Sin Luz	TA	6	sl-ta-r6	11	15	2
2021-05-24	Sin Luz	TA	7	sl-ta-r7	11	15	NA
2021-05-24	Con Luz	TA	1	cl-ta-r1	12	16	NA
2021-05-24	Con Luz	TA	2	cl-ta-r2	11	16	1
2021-05-24	Con Luz	TA	3	cl-ta-r3	11	17	NA
2021-05-24	Con Luz	TA	4	cl-ta-r4	13	18	NA
2021-05-24	Con Luz	TA	5	cl-ta-r5	13	15	1
2021-05-24	Con Luz	TA	6	cl-ta-r6	14	16	NA
2021-05-24	Con Luz	TA	7	cl-ta-r7	2	6	NA
2021-05-24	Con Luz	TA	8	cl-ta-r8	12	15	NA
2021-05-24	Con Luz	TA	9	cl-ta-r9	12	16	1
2021-05-24	Con Luz	TA	10	cl-ta-r10	14	15	1
