Fecha	Variedad	Cama	Planta	Organo	Cantidad
2021-01-15	GU	6	2	Frutos	2
2021-01-15	GU	6	3	Flores	5
2021-01-15	GU	6	3	Frutos	2
2021-01-15	GU	6	4	Flores	5
2021-01-15	GU	6	4	Frutos	3
2021-01-15	GU	6	5	Flores	6
2021-01-15	GU	6	5	Frutos	3
2021-01-15	GU	6	6	Flores	1
2021-01-15	GU	6	6	Frutos	2
2021-01-20	TA	1	1	Flores	14
2021-01-20	TA	1	1	Frutos	0
2021-01-20	TA	1	2	Flores	10
2021-01-20	TA	1	2	Frutos	2
2021-01-20	TA	1	3	Flores	12
2021-01-20	TA	1	3	Frutos	1
2021-01-20	TA	1	4	Flores	12
2021-01-20	TA	1	4	Frutos	2
2021-01-20	TA	1	5	Flores	13
2021-01-20	TA	1	5	Frutos	1
2021-01-20	TA	1	6	Flores	15
2021-01-20	TA	1	6	Frutos	0
2021-01-20	WI	2	1	Flores	0
2021-01-20	WI	2	1	Frutos	0
2021-01-20	WI	2	2	Flores	3
2021-01-20	WI	2	2	Frutos	0
2021-01-20	WI	2	3	Flores	0
2021-01-20	WI	2	3	Frutos	0
2021-01-20	WI	2	4	Flores	3
2021-01-20	WI	2	4	Frutos	0
2021-01-20	WI	2	5	Flores	0
2021-01-20	WI	2	5	Frutos	0
2021-01-20	WI	2	6	Flores	0
2021-01-20	WI	2	6	Frutos	0
2021-01-20	VU	3	1	Flores	15
2021-01-20	VU	3	1	Frutos	0
2021-01-20	VU	3	2	Flores	12
2021-01-20	VU	3	2	Frutos	2
2021-01-20	VU	3	3	Flores	15
2021-01-20	VU	3	3	Frutos	0
2021-01-20	VU	3	4	Flores	11
2021-01-20	VU	3	4	Frutos	2
2021-01-20	VU	3	5	Flores	13
2021-01-20	VU	3	5	Frutos	1
2021-01-20	VU	3	6	Flores	14
2021-01-20	VU	3	6	Frutos	3
2021-01-20	CA	4	1	Flores	10
2021-01-20	CA	4	1	Frutos	1
2021-01-20	CA	4	2	Flores	11
2021-01-20	CA	4	2	Frutos	0
2021-01-20	CA	4	3	Flores	10
2021-01-20	CA	4	3	Frutos	1
2021-01-20	CA	4	4	Flores	10
2021-01-20	CA	4	4	Frutos	1
2021-01-20	CA	4	5	Flores	10
2021-01-20	CA	4	5	Frutos	1
2021-01-20	CA	4	6	Flores	12
2021-01-20	CA	4	6	Frutos	0
2021-01-20	KI	5	1	Flores	12
2021-01-20	KI	5	1	Frutos	3
2021-01-20	KI	5	2	Flores	13
2021-01-20	KI	5	2	Frutos	1
2021-01-20	KI	5	3	Flores	0
2021-01-20	KI	5	3	Frutos	0
2021-01-20	KI	5	4	Flores	13
2021-01-20	KI	5	4	Frutos	2
2021-01-20	KI	5	5	Flores	14
2021-01-20	KI	5	5	Frutos	0
2021-01-20	KI	5	6	Flores	10
2021-01-20	KI	5	6	Frutos	3
2021-01-20	GU	6	1	Flores	7
2021-01-20	GU	6	1	Frutos	0
2021-01-20	GU	6	2	Flores	3
2021-01-20	GU	6	2	Frutos	2
2021-01-20	GU	6	3	Flores	1
2021-01-20	GU	6	3	Frutos	3
2021-01-20	GU	6	4	Flores	2
2021-01-20	GU	6	4	Frutos	4
2021-01-20	GU	6	5	Flores	4
2021-01-20	GU	6	5	Frutos	3
2021-01-20	GU	6	6	Flores	1
2021-01-20	GU	6	6	Frutos	2
2021-01-26	TA	1	1	Flores	13
2021-01-26	TA	1	1	Frutos	4
2021-01-26	TA	1	2	Flores	11
2021-01-26	TA	1	2	Frutos	3
2021-01-26	TA	1	3	Flores	14
2021-01-26	TA	1	3	Frutos	1
2021-01-26	TA	1	4	Flores	12
2021-01-26	TA	1	4	Frutos	2
2021-01-26	TA	1	5	Flores	11
2021-01-26	TA	1	5	Frutos	3
2021-01-26	TA	1	6	Flores	13
2021-01-26	TA	1	6	Frutos	2
2021-01-26	WI	2	1	Flores	1
2021-01-26	WI	2	1	Frutos	0
2021-01-26	WI	2	2	Flores	3
2021-01-26	WI	2	2	Frutos	0
2021-01-26	WI	2	3	Flores	0
2021-01-26	WI	2	3	Frutos	0
2021-01-26	WI	2	4	Flores	6
2021-01-26	WI	2	4	Frutos	0
2021-01-26	WI	2	5	Flores	0
2021-01-26	WI	2	5	Frutos	0
2021-01-26	WI	2	6	Flores	0
2021-01-26	WI	2	6	Frutos	0
2021-01-26	VU	3	1	Flores	13
2021-01-26	VU	3	1	Frutos	1
2021-01-26	VU	3	2	Flores	13
2021-01-26	VU	3	2	Frutos	2
2021-01-26	VU	3	3	Flores	11
2021-01-26	VU	3	3	Frutos	2
2021-01-26	VU	3	4	Flores	12
2021-01-26	VU	3	4	Frutos	2
2021-01-26	VU	3	5	Flores	14
2021-01-26	VU	3	5	Frutos	1
2021-01-26	VU	3	6	Flores	10
2021-01-26	VU	3	6	Frutos	5
2021-01-26	CA	4	1	Flores	12
2021-01-26	CA	4	1	Frutos	1
2021-01-26	CA	4	2	Flores	10
2021-01-26	CA	4	2	Frutos	2
2021-01-26	CA	4	3	Flores	9
2021-01-26	CA	4	3	Frutos	3
2021-01-26	CA	4	4	Flores	11
2021-01-26	CA	4	4	Frutos	1
2021-01-26	CA	4	5	Flores	11
